Tr_years,Ip,Op_full_numerical,Op_full_analytical,RMSE_full,Op_empty_numerical,Op_empty_analytical,RMSE_empty
5,10.0,6.233365562941756,7.743844733951434,3.322420687124709,3.0730071064847726,3.6093428515746857,0.323341786489047
10,18.0,12.888564353112777,14.497419017604784,3.4090348673054534,3.7020139759708246,4.857293456340645,0.5601793479517889
25,35.0,27.786708163868724,29.496780362259415,3.5234717543345115,4.415284197819636,6.512957930370497,1.0056895259926708
50,55.0,45.70454605151308,47.375195293883735,3.6317946776218952,4.902929183661604,11.948790666249508,3.5634690850334696
100,80.0,68.34074902354986,69.73370431786316,3.732173436241108,31.73233209619939,43.702033053329316,5.0202051319526335
